id;version;fecha;introduccion;terminologia_comun;importancia_contexto;descripcion;poblacion_objetivo;referencia
1;Bosnia;2022-02-08;Violeta multitarea;engineer navigating Silla;éxito;Rústico Central;PNG architectures;system explícita Urbanización
2;Extremadura servidor;2022-02-08;Cambridgeshire Urbanización Dinar;Lek Mejorado Poblado;connect Deportes;Berkshire;indexing dot-com Blanco;Supervisor Futuro transmitter
3;Kwanza enterprise;2022-02-07;ROI Seychelles;Refinado;navigating Genérico;Sorprendente leading-edge;harness Asociado;Avon
4;Coche Canarias copying;2022-02-07;Camino Denar;B2B Global hacking;Guapo Distrito invoice;Madera Blanco Ingeniero;Calidad B2B Manzana;Visionario
5;Métricas Oficial;2022-02-08;schemas;Ingeniero International channels;nivel connecting index;bandwidth invoice Enfocado;Seguridada Camino;Pelota generating feed
6;Lempira Camiseta;2022-02-08;Cataluña Rústico connecting;Senior Shilling Optimizado;Borders compuesto;Plástico Aragón;Terrenos;Norwegian
7;Castilla-La Loan;2022-02-07;deposit;Market efficient;input Morado;bypassing Rojo Seguro;Patatas Pizza;Inteligente
8;Relacciones SQL;2022-02-08;purposes Intuitivo;recontextualize;Negro Vasco;logística e-enable;navigate Granito;synthesizing Joyería 1080p
9;Bedfordshire modular;2022-02-08;Ingeniero Estonia;Ladrillo Madera;Global;Home deliverables;Música;Vietnam
10;payment bypass experiences;2022-02-08;Regional cero;Huerta;virtual HDD Granito;transmit Papelería;Account Loan utilize;drive open-source
